Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Ciscato,Samuele,ROYAL,1,0,,1,1,0,0,0,3.0,0,0,0,6,3,0,0,0,6,,0,0,0,,,,
Macor,Daniele,ROYAL,0,0,,1,1,0,0,0,3.0,0,0,0,0,6,0,0,0,9,,0,0,0,,,,
Jean Rodriguez,Erik,GOLD,1,0,,1,0,0,0,0,2.2,2,0,0,2,2,1,0,0,8,,2,0,0,,,,
de Cesaris,Tiziano,ROYAL,0,0,,2,0,0,0,0,3.0,2,1,1,1,6,1,0,0,11,,1,0,0,,,,
Zuccon,Paolo,ROYAL,0,0,,1,1,0,0,0,4.0,2,2,2,3,8,2,0,0,15,,1,0,0,,,,
Borgardt,Rafael,BLACK,0,1,,1,0,0,0,0,3.0,6,4,3,0,4,2,0,2,16,,0,0,0,,,,
Vastag,Adalberto,GOLD,0,0,,2,0,0,0,0,5.0,8,8,8,7,10,2,0,1,22,,2,0,0,,,,
ten Dam,Jens,ORANG,0,0,,2,1,0,0,0,4.0,8,9,7,2,3,4,0,0,21,,6,1,0,,,,
Figueredo,Josner,GOLD,0,0,,2,0,1,0,0,2.2,3,5,5,3,3,1,0,1,10,,0,0,0,,,,
Pidun,Santino,BLACK,1,0,,1,0,0,0,0,2.1,2,0,0,2,3,0,0,0,9,,1,0,0,,,,
Koppel,Karl,ORANG,0,0,,1,0,0,0,0,2.0,0,0,0,0,7,0,0,0,7,,1,0,0,,,,
Kulkami,Alex,GOLD,0,0,,1,1,0,0,0,2.0,1,2,0,0,4,1,0,0,10,,0,0,0,,,,
Meermeyer,Robin,BLACK,0,0,,1,1,0,0,0,2.0,2,0,0,1,3,0,0,0,8,,0,0,0,,,,
Barbera,Sebastian,ROYAL,0,0,,1,0,0,0,0,1.0,0,0,0,1,3,0,0,0,3,,0,0,0,,,,
Benelli,Serse,ROYAL,0,0,,1,0,0,0,0,1.0,0,0,0,2,2,0,0,0,3,,0,0,0,,,,
Deguine,Matheo,BLACK,0,0,,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,4,,0,0,0,,,,
Schumacher,Milos,BLACK,0,0,,1,0,0,0,0,1.0,2,3,0,1,1,1,0,0,5,,2,0,0,,,,
Parisi,Andrea,ROYAL,0,0,,1,0,0,0,0,1.0,0,0,0,0,2,0,0,0,3,,0,0,0,,,,
Holzhey,Moritz,BLACK,0,0,,2,0,0,0,0,2.0,2,3,1,3,2,0,0,0,8,,1,0,0,,,,
Gonzalez,Martin,ORANG,0,0,,2,0,0,0,0,1.2,1,1,1,4,0,1,0,0,6,,0,1,0,,,,
Jonathan Kampf,Ben,BLACK,0,0,,1,1,0,0,0,2.0,2,2,2,2,1,1,0,0,6,,0,1,0,,,,
Fisher,Louis,GOLD,0,0,,1,0,0,0,0,2.0,2,3,2,2,3,0,0,1,10,,1,1,0,,,,
Alfonso,Angel,ORANG,0,0,,1,0,0,0,0,2.0,2,2,2,2,0,0,0,1,9,,1,0,0,,,,
Guidotti,Riccardo,ROYAL,1,0,,1,0,0,0,0,1.0,1,1,1,0,0,1,0,0,3,,0,0,0,,,,
Barragan,Andres,BLACK,0,0,,1,0,0,0,0,2.0,2,3,3,3,1,0,0,2,8,,0,0,0,,,,
Henrik Rosenberg,Leo,BLACK,0,1,,1,1,0,0,0,2.0,2,4,3,4,4,0,0,0,9,,4,0,0,,,,
Swart,Tito,ORANG,0,1,,1,1,0,0,0,2.0,8,8,3,1,2,2,0,1,14,,0,0,0,,,,
Boelke,Jonas,BLACK,0,0,,1,0,0,0,0,2.0,5,3,3,2,2,1,0,2,10,,1,0,0,,,,
Sassi,Lorenzo,ROYAL,1,0,,1,0,0,0,0,2.0,1,3,3,2,4,0,0,1,7,,0,0,0,,,,
Fernandez,Thomas,GOLD,0,0,,1,0,0,0,0,0.2,1,1,1,4,0,0,0,0,1,,3,0,0,,,,
Chelladura,Valentine,GOLD,0,0,,1,0,0,0,0,0.2,0,1,1,3,2,0,0,0,2,,0,1,0,,,,
Franco Bimbatti,Gian,GOLD,0,0,,2,0,0,0,0,1.0,1,2,2,3,1,0,0,0,4,,0,0,0,,,,
Kortman,Julien,ORANG,0,0,,1,0,0,0,0,1.0,3,3,2,0,1,0,0,2,7,,1,0,0,,,,
Salcedo,Maikel,GOLD,1,1,,2,1,0,0,0,2.1,5,5,5,3,5,2,0,2,11,,0,1,0,,,,
Beaujon,Nicolas,ORANG,0,0,,1,0,0,0,0,1.1,2,6,3,4,1,0,0,1,6,,0,0,0,,,,
Rudolph,Ben,ORANG,0,1,,1,1,0,0,0,2.0,8,8,5,3,2,5,0,0,13,,2,0,0,,,,
Rojas,Diego,ORANG,0,1,,1,0,0,0,0,2.0,4,6,5,3,1,0,0,2,10,,2,0,0,,,,
Stepanek,Dominik,GOLD,0,0,,1,1,0,0,0,2.0,2,6,6,6,5,1,0,1,9,,2,0,0,,,,
Schroder,Ford,BLACK,0,0,,1,0,0,0,0,0.2,0,3,3,5,1,0,0,0,2,,1,0,0,,,,
