Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Macor,Daniele,ROYAL,1,0,,1,1,0,0,0,4.0,2,0,0,0,1,0,0,0,15,,0,0,0,,,,
Koppel,Karl,ORANG,0,0,,1,1,0,0,0,3.0,1,0,0,2,5,0,0,0,10,,1,0,0,,,,
Morales,Felipe,RED,1,0,,1,0,0,0,0,3.0,1,0,0,2,9,0,0,0,11,,0,1,0,,,,
Ten Dam,Jens,ORANG,1,0,,1,0,0,0,0,3.0,2,0,0,2,6,0,0,0,10,,0,0,0,,,,
Henrik Rosenberg,Leo,BLACK,0,0,,1,1,0,0,0,3.0,1,1,0,2,3,0,0,0,10,,1,1,0,,,,
de Sant,Michelangelo,WHITE,0,0,,1,0,0,0,0,2.2,2,0,0,2,3,2,0,0,9,,0,0,0,,,,
Pagani,Ettore,WHITE,0,0,,1,0,0,0,0,2.0,1,0,0,0,2,0,0,0,7,,0,0,0,,,,
Milburn,Liam,AQUA,0,0,,1,0,0,0,0,1.2,0,0,0,1,3,0,0,0,5,,2,0,0,,,,
Cameron,Mason,RED,0,0,,1,0,0,0,0,1.0,1,0,0,1,1,0,0,0,3,,0,0,0,,,,
Kulkami,Alex,GOLD,0,0,,1,0,0,0,0,1.0,0,0,0,0,2,0,0,0,4,,0,0,0,,,,
Sassi,Lorenzo,ROYAL,0,0,,1,0,0,0,0,1.0,0,0,0,1,2,0,0,0,3,,1,0,0,,,,
Borgardt,Rafael,BLACK,0,0,,1,0,0,0,0,1.0,1,0,0,0,2,0,0,0,3,,0,0,0,,,,
Swart,Tito,ORANG,0,0,,1,0,0,0,0,1.0,0,0,0,1,1,0,0,0,2,,0,0,0,,,,
Schwarcke,Matthes,RED,0,0,,1,1,0,0,0,3.0,2,1,1,5,5,0,0,0,11,,2,0,0,,,,
Topper,Charlie,AQUA,0,0,,1,1,0,0,0,2.1,1,2,1,4,0,0,0,0,8,,3,0,0,,,,
Galindo,Jhoan,AQUA,0,1,,1,0,0,0,0,2.0,6,5,2,0,0,1,0,1,13,,1,0,0,,,,
Brauch,Mona,BLACK,0,0,,1,0,0,0,0,1.0,1,1,1,0,2,0,0,1,4,,0,0,0,,,,
Stepanek,Dominik,GOLD,0,0,,1,0,0,0,0,3.0,6,5,5,3,4,2,0,1,15,,1,1,0,,,,
Strobel,Tim,GREEN,0,0,,1,0,0,0,0,3.1,6,6,6,7,3,1,0,2,14,,4,0,0,,,,
Zegheru,Mihai,WHITE,0,1,,1,1,0,0,0,2.0,4,4,4,1,1,1,0,0,7,,1,3,0,,,,
Deguine,Matheo,BLACK,1,0,,1,0,0,0,0,2.0,5,4,4,3,2,1,0,0,8,,1,2,0,,,,
Franco Bimbatti,Gian,GOLD,0,1,,1,1,0,0,0,2.0,5,5,5,1,0,1,0,3,11,,0,0,0,,,,
Major,Max,GREEN,0,1,,1,1,0,0,0,1.0,7,9,8,2,3,1,0,3,11,,0,0,0,,,,
Peters,Sytze,WHITE,0,0,,1,0,0,0,0,0.1,0,5,5,5,1,0,0,0,1,,0,0,0,,,,
