Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
Magalotti,Federico,ORANG,0,0,,3,1,0,0,0,6.2,2,2,0,1,13,1,0,0,21,,0,1,0,,,,
Boll,Linus,ORANG,1,0,,2,0,0,0,0,6.0,3,0,0,1,11,0,0,0,20,,0,0,0,,,,
Uhlmann,Jannik,RED,0,0,,2,2,0,0,0,6.0,3,1,0,2,6,1,0,0,19,,1,1,0,,,,
Rojas,Angel,ROYAL,0,0,,2,2,0,0,0,6.0,3,0,0,3,11,0,0,0,20,,0,0,0,,,,
Grassellini,Luca,GOLD,0,1,,2,2,0,0,0,5.0,3,2,0,1,6,1,0,0,19,,0,0,0,,,,
Lee Pugh,Ashton,NAVY,2,0,,2,0,0,0,0,5.0,2,0,0,0,11,1,1,0,17,,1,0,0,,,,
Diaz,Enmanuel,AQUA,1,0,,2,1,0,0,0,4.0,2,0,0,4,5,0,0,0,12,,0,1,0,,,,
Marusczyk,Oswin,BLACK,0,0,,2,0,0,0,0,3.2,1,0,0,7,1,0,0,0,11,,3,0,0,,,,
Osechas,Jose,ROYAL,1,0,,3,0,0,0,0,3.1,0,0,0,2,10,0,0,0,10,,0,0,0,,,,
Benelli,Serse,GOLD,0,0,,2,0,0,0,0,6.0,7,3,1,2,10,1,0,0,24,,2,0,1,,,,
Balaz,Jakub,GREEN,0,0,,2,1,0,0,0,3.2,8,8,1,1,2,3,0,0,19,,2,1,0,,,,
Maibaum,Max,NAVY,0,1,,2,0,0,0,0,3.1,5,8,1,3,2,0,0,0,13,,2,1,0,,,,
Guehring,Samuel,RED,2,0,,2,0,0,0,0,6.0,3,2,2,2,6,2,1,0,21,,1,0,0,,,,
Uher,Jan,NAVY,0,0,,2,2,0,0,0,6.0,3,5,2,9,11,0,1,0,22,,8,1,0,,,,
Naranjo,Gabriel,ROYAL,1,0,,2,0,0,0,0,6.0,6,5,3,5,4,3,0,0,24,,0,1,0,,,,
Schoepplenber,Julius,BLACK,0,0,,2,0,0,0,0,4.0,2,3,2,3,5,0,0,0,13,,2,0,0,,,,
Garcia,Victor,AQUA,1,0,,3,0,0,0,0,4.0,3,2,2,3,7,1,0,0,14,,3,1,0,,,,
Maibaum,Pascal,NAVY,0,0,,2,1,0,0,0,5.0,3,3,3,2,3,1,1,0,17,,1,2,0,,,,
Linares,Emanuel,GOLD,1,0,,4,0,0,0,0,3.2,3,4,3,6,2,0,0,0,12,,4,0,0,,,,
Beljak,Marian,BLACK,0,1,,2,0,0,0,0,6.0,10,7,5,4,8,1,0,0,25,,2,0,0,,,,
van Gool,Sjors,AQUA,0,1,,2,2,0,0,0,5.0,3,5,5,5,6,1,0,0,20,,4,1,0,,,,
Stroll,Johannes,GOLD,0,0,,2,0,0,0,0,4.0,5,4,4,8,4,1,1,0,16,,1,0,0,,,,
Okac,Filip,GREEN,0,0,,2,1,0,0,0,5.0,6,7,6,5,7,1,2,0,22,,4,1,0,,,,
