Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ADAMS,Owen,CAN,9,0,4.47,11,10,0,3,0,31.1,19,24,20,32,59,1,3,1,103,0.184,0,1,0,0,0,17,8
AHLSTRÖM,Lex,CAN,0,0,9.00,2,0,0,0,0,2.1,8,3,3,4,2,0,0,0,11,0.727,1,0,0,0,0,0,1
ALVAREZ ALARCON,Fabiana,BRI,0,0,28.00,2,0,0,0,0,2.0,10,8,8,1,1,2,0,0,14,0.714,0,0,0,1,0,1,3
ARMIROTTO,Kaj,BOR,3,3,4.85,13,6,0,0,0,26.0,11,29,18,48,62,1,0,1,85,0.129,9,3,0,0,0,5,3
BENEDET,Massimo,SER,2,1,34.13,4,3,0,0,0,2.2,5,19,13,21,5,1,0,0,11,0.455,2,0,0,0,0,0,1
BERNARD,Clément,BRI,0,0,73.50,2,0,0,0,0,0.2,4,13,7,10,1,0,1,0,7,0.571,2,1,0,0,0,1,0
BERNARD,Clément,BRI,0,0,49.00,2,0,0,0,0,1.0,6,7,7,6,1,2,0,0,8,0.750,0,1,0,0,0,0,1
BERNARD,Daniel,BIN,1,2,25.94,3,3,0,0,0,5.2,11,22,21,14,9,2,0,0,26,0.423,0,2,0,0,0,4,2
BOECKMANS,Charlot,GRE,0,0,56.00,1,0,0,0,0,1.0,1,8,8,9,0,0,1,0,3,0.333,1,0,0,0,0,1,1
CADIOU,Louis,BRU,2,0,3.09,7,2,0,0,0,11.1,4,9,5,21,23,0,0,0,30,0.133,1,2,1,1,0,1,2
CASARIN,Noé,SER,0,0,31.50,4,0,0,0,0,2.0,5,17,9,13,3,2,1,0,8,0.625,0,1,0,1,0,0,1
CASTELAIN,Ernest,WBA,0,0,21.00,1,0,0,0,0,0.2,1,5,2,3,1,0,0,0,2,0.500,0,0,0,0,0,0,0
