Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ADLER,Eric,USA,0,1,9.00,3,0,0,0,0,3.0,4,4,3,3,2,0,0,1,11,0.364,0,0,0,0,3,7,0
AGRAZAL,Dario,PAN,0,0,4.91,1,1,0,0,0,3.2,5,2,2,2,4,2,0,0,17,0.294,0,0,1,0,0,5,2
ALANIZ,R.J.,MEX,0,0,0.00,3,0,2,0,0,3.0,2,0,0,0,5,0,0,0,11,0.182,0,0,0,0,0,1,3
ALTAVILLA,Dan,USA,0,0,2.25,4,0,0,0,0,4.0,1,1,1,1,7,0,0,1,12,0.083,0,1,0,0,0,2,2
ALVAREZ,Frank,CUB,0,0,3.38,2,0,0,0,0,2.2,2,1,1,3,1,1,0,0,9,0.222,0,0,0,0,0,2,4
ALVAREZ,Jose,VEN,0,1,4.50,4,0,0,0,0,4.0,5,2,2,2,5,0,1,0,16,0.313,0,0,0,0,0,2,4
ATHERTON,Tim,AUS,0,0,1.80,3,2,0,0,0,5.0,5,1,1,1,4,0,0,0,20,0.250,0,0,0,0,0,4,6
BALDONADO,Alberto,PAN,1,1,0.00,3,0,1,0,0,4.2,2,1,0,2,8,0,0,0,16,0.125,0,0,0,0,0,3,3
BARRIA,Jaime,PAN,0,0,5.40,2,2,0,0,0,10.0,13,6,6,2,5,3,0,3,40,0.325,0,0,0,0,0,12,10
BAÑUELOS,Manny,MEX,0,1,16.88,2,1,0,0,0,2.2,7,5,5,2,3,1,0,1,15,0.467,1,1,0,0,0,2,3
BENITEZ,Jorge,PUR,0,0,0.00,4,0,0,0,0,4.1,1,0,0,3,4,0,0,0,14,0.071,0,0,0,0,0,5,4
BENSCHOTER,Sam,USA,1,2,5.06,3,0,0,0,0,5.1,8,3,3,2,7,2,1,1,24,0.333,2,0,0,0,0,5,4
BERMUDEZ,Jonathan,PUR,0,0,2.16,2,2,0,0,0,8.1,5,2,2,3,9,1,0,1,29,0.172,0,0,0,0,0,4,11
BERRIOS,Osvaldo,PUR,0,0,3.00,3,0,0,0,0,6.0,3,2,2,0,3,0,0,1,20,0.150,0,2,0,0,0,6,7
BRETO,Liarvis,VEN,1,0,1.69,5,0,0,0,0,5.1,4,1,1,2,6,0,0,1,18,0.222,0,0,0,0,2,7,3
BURGOS,Enrique,PAN,0,0,0.00,1,0,1,0,0,2.1,0,0,0,0,2,0,0,0,7,0.000,0,0,0,0,0,1,4
BURGOS,Raymond,PUR,1,0,2.25,3,0,0,0,0,4.0,4,1,1,1,3,0,0,1,15,0.267,0,0,0,0,0,3,5
CACERES,Bryan,PAN,0,1,108.00,1,1,0,0,0,0.1,2,4,4,2,0,1,0,0,3,0.667,0,1,0,0,0,1,0
CASTILLO,Diego,DOM,0,1,22.50,3,0,0,0,0,2.0,6,5,5,1,2,3,1,0,13,0.462,0,0,0,0,0,1,3
CASTILLO,Max,VEN,0,0,2.70,2,1,0,0,0,3.1,4,2,1,4,3,1,0,0,11,0.364,0,1,0,0,0,2,2
CHACON,Ojani,PUR,0,0,0.00,1,0,0,0,0,0.0,1,1,1,0,0,0,0,0,1,1.000,0,0,0,0,0,0,0
CHANG,Yi,TPE,2,0,0.00,4,0,0,0,0,5.0,2,0,0,1,6,0,0,0,17,0.118,0,0,0,0,0,2,7
CHEN,Kuan-Wei,TPE,0,0,1.80,5,0,0,0,0,5.0,4,1,1,0,8,1,0,1,19,0.211,0,0,0,0,0,4,3
CHEN,Kuan-Yu,TPE,0,0,0.00,5,0,0,0,0,4.2,1,0,0,1,5,0,0,0,15,0.067,0,0,0,0,0,5,4
CHEN,Po-Ching,TPE,0,2,9.53,3,3,0,0,0,5.2,4,7,6,7,3,2,0,2,21,0.190,1,1,0,1,0,6,8
CHIANG,Kuo-Hao,TPE,1,0,1.42,3,0,0,0,0,6.1,7,1,1,4,7,2,0,0,25,0.280,0,0,0,1,0,5,7
CHOI,Ji Min,KOR,0,0,2.70,3,0,0,0,0,3.1,1,1,1,0,2,0,0,0,11,0.091,0,1,0,0,0,4,4
CHOI,Seungyong,KOR,0,0,7.71,2,1,0,0,0,2.1,4,2,2,1,2,0,0,0,11,0.364,0,0,0,0,0,4,1
CHU,Gilberto,PAN,0,0,27.00,1,0,0,0,0,1.0,3,3,3,1,2,0,0,1,6,0.500,0,0,0,0,0,1,0
CHUANG,Hsin Yen,TPE,0,0,2.25,5,0,0,0,0,4.0,1,1,1,0,3,0,0,1,13,0.077,0,0,0,0,0,6,3
CINTRON,Luis,PUR,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,0,1,0,0,4,0.250,0,0,0,0,0,0,3
CORNIEL,Robert,DOM,0,0,3.00,2,0,0,0,0,3.0,1,1,1,2,2,0,0,0,9,0.111,0,1,0,0,0,4,2
CRUZ,Jesus,MEX,1,1,0.00,3,0,0,0,0,3.2,2,1,0,0,6,0,0,0,12,0.167,0,0,0,1,0,3,1
CRUZ,Luis,PUR,0,1,10.13,3,1,1,0,0,2.2,3,3,3,4,0,0,0,0,9,0.333,2,0,0,0,1,4,3
DE BLOK,Tom,NED,1,0,5.40,1,1,0,0,0,5.0,7,3,3,3,2,0,0,2,21,0.333,0,0,0,0,0,4,8
DRURY,Austin,USA,0,0,6.75,2,0,0,0,0,1.1,1,1,1,0,0,0,0,0,4,0.250,0,1,0,0,0,1,2
ESTANISTA,Jaydenn,NED,0,0,0.00,1,0,0,0,0,1.0,1,0,0,0,1,0,0,0,4,0.250,0,0,0,0,0,1,1
FARLEY,Dylan,NED,0,0,20.25,1,0,0,0,0,1.1,2,3,3,3,1,0,0,0,4,0.500,0,0,0,0,0,0,1
FERNÁNDEZ,Pedro,DOM,0,1,1.50,1,1,0,0,0,6.0,4,1,1,1,6,0,0,1,19,0.211,0,0,0,0,0,5,3
FIERRO,Edwin,MEX,0,0,2.25,3,0,0,0,0,4.0,4,1,1,0,2,1,0,1,16,0.250,0,0,1,0,0,4,6
FIGUEREDO,Raymond,CUB,0,0,9.00,1,1,0,0,0,2.0,3,2,2,2,2,0,0,0,9,0.333,1,1,0,0,0,0,4
FIGUEROA,Jose,PUR,0,0,21.60,1,0,0,0,0,1.2,5,4,4,1,0,2,0,0,9,0.556,1,0,0,1,0,1,4
FRANCO,Enderson,VEN,0,1,6.00,5,0,1,0,0,3.0,3,2,2,2,6,0,0,2,12,0.250,0,0,0,0,0,2,1
FUENTES,Steven,PAN,0,0,0.00,1,0,0,0,0,3.1,2,0,0,2,0,1,0,0,11,0.182,1,0,0,0,0,7,2
FUJIHIRA,Shoma,JPN,0,0,0.00,5,0,1,0,0,5.0,3,0,0,0,11,0,0,0,18,0.167,0,1,0,0,0,3,1
GARCIA,Jason,PUR,0,1,13.50,1,0,0,0,0,1.1,0,2,2,1,1,0,0,0,4,0.000,0,1,0,0,0,2,1
GARCÍA,Pedro,VEN,0,0,16.20,3,0,0,0,0,1.2,2,3,3,2,0,0,0,1,7,0.286,0,0,0,0,0,1,4
GOMEZ,Cesar,MEX,0,0,9.00,2,0,0,0,0,2.0,5,2,2,0,1,1,0,1,9,0.556,0,0,0,0,0,1,2
GOMEZ,Miguel,PAN,0,0,0.00,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,3,0.000,0,0,0,0,0,2,1
GONZALEZ,Severino,PAN,0,0,7.71,1,0,0,0,0,2.1,3,2,2,1,3,0,0,0,10,0.300,0,0,0,0,0,1,3
GONZALEZ,Victor,MEX,0,0,13.50,2,0,0,0,0,0.2,3,1,1,2,0,0,0,0,5,0.600,2,0,0,0,0,1,1
GOSE,Anthony,USA,0,0,0.00,4,0,0,0,0,3.1,1,0,0,0,2,1,0,0,11,0.091,0,0,0,0,0,3,5
GROTZ,Zac,USA,0,0,1.42,2,2,0,0,0,6.1,7,1,1,1,4,0,0,0,23,0.304,0,1,0,1,0,8,5
GUERRERO,Alberto,PAN,0,0,7.71,2,0,0,0,0,2.1,2,2,2,1,0,1,0,0,8,0.250,0,0,0,0,0,4,2
GUTIÉRREZ,Geonel,CUB,0,0,9.00,3,0,0,0,0,2.0,3,2,2,1,3,0,0,0,8,0.375,0,0,0,1,0,0,3
GUYER,Josh,AUS,0,0,7.71,2,0,0,0,0,2.1,7,4,2,2,1,2,0,0,13,0.538,0,0,0,0,1,2,3
GWAK,Been,KOR,0,0,0.00,1,1,0,0,0,4.0,3,0,0,3,5,0,0,0,14,0.214,0,0,0,0,0,4,2
HAYAKAWA,Takahisa,JPN,0,0,6.75,2,2,0,0,0,9.1,7,7,7,10,10,2,1,0,34,0.206,0,0,0,0,0,10,7
HENRY,Henry,DOM,0,0,6.00,2,0,0,0,0,3.0,5,2,2,4,3,0,0,0,13,0.385,0,0,0,0,0,3,2
HERNANDEZ,Arnaldo,VEN,0,0,6.00,2,0,0,0,0,3.0,4,2,2,1,5,1,0,0,13,0.308,0,0,0,0,0,2,2
HERNANDEZ,Kenny,PAN,1,0,3.60,2,0,0,0,0,5.0,5,2,2,0,5,0,0,1,20,0.250,0,0,0,0,0,5,4
HERNANDEZ,Pavel,CUB,0,0,6.75,1,0,0,0,0,1.1,2,1,1,1,1,0,0,1,6,0.333,0,0,0,0,0,2,1
HILL,Rich,USA,0,0,0.00,3,3,0,0,0,10.1,5,1,0,2,14,1,0,0,36,0.139,0,0,1,0,0,8,7
HOLLAND,Sam,AUS,0,0,7.36,4,0,0,0,0,3.2,4,3,3,2,2,0,0,1,15,0.267,0,0,0,0,0,6,3
HUANG,En-Sih,TPE,0,0,0.00,4,0,0,0,0,4.2,5,0,0,0,4,0,0,0,17,0.294,0,0,0,0,1,7,1
HUANG,Tzu-Peng,TPE,1,1,1.50,3,3,0,0,0,12.0,5,2,2,1,9,0,0,1,39,0.128,0,0,0,0,0,14,11
HUIJER,Lars,NED,0,0,36.00,1,1,0,0,0,1.0,2,4,4,4,2,1,0,0,4,0.500,0,0,0,1,0,0,1
HUNTINGTON,Ryan,NED,0,0,0.00,2,0,0,0,0,1.2,2,3,0,0,1,1,0,0,8,0.250,0,1,0,0,0,2,2
IBARRA,Jeff,MEX,0,0,0.00,2,0,0,0,0,0.2,2,0,0,1,0,1,0,0,3,0.667,0,0,0,1,0,0,2
IM,Chan Kyu,KOR,0,0,9.00,1,1,0,0,0,3.0,5,3,3,2,3,1,0,1,13,0.385,0,0,0,0,0,4,1
INOUE,Haruto,JPN,3,0,6.75,3,1,0,0,0,8.0,10,6,6,2,12,0,0,2,32,0.313,1,0,0,0,0,7,3
JO,Byeonghyeon,KOR,0,0,6.75,2,0,0,0,0,2.2,4,2,2,0,1,1,0,1,12,0.333,0,0,0,0,0,5,2
