Surname,First Name,Team,W,L,ERA,APP,GS,SV,CG,SHO,IP,H,R,ER,BB,SO,H2,H3,HR,AB,BAVG,WP,HBP,BK,SFA,SHA,GO,FO
ACEVEDO PIÑEREZ,David Esteban,COL,0,0,0.91,2,2,0,0,0,7.2,5,2,1,2,6,1,1,0,28,0.179,0,2,0,0,0,4,12
ALBIR,Jared,NCA,1,0,1.62,3,0,0,0,0,4.1,2,1,1,2,3,0,0,0,15,0.133,0,0,0,0,0,5,5
BEEZLEY,Joshua,AUS,1,0,5.25,3,0,0,0,0,5.1,4,4,4,4,5,1,0,0,19,0.211,0,1,0,0,0,5,5
BLANCO MONTES,Santiago,COL,0,1,5.60,2,2,0,0,0,5.0,4,4,4,3,3,1,0,0,15,0.267,2,2,0,1,0,3,6
BRAY,Aidan Alexander,GBR,0,0,21.00,1,0,0,0,0,1.0,3,3,3,2,0,0,0,0,6,0.500,2,0,0,0,0,1,2
BRICKHILL,Tyron Rory,RSA,0,0,14.00,2,0,0,0,0,3.0,5,7,6,7,1,1,0,0,13,0.385,3,0,0,1,0,3,5
BROOK,Lachlan,AUS,0,1,2.33,3,0,0,0,0,3.0,4,3,1,1,3,1,0,0,13,0.308,0,0,0,0,0,3,3
BROOKES,Jamie Liam,RSA,0,0,28.00,1,0,0,0,0,1.0,1,4,4,4,0,0,1,0,4,0.250,1,0,0,0,0,1,2
BURGOS BERDUGO,David Antonio,COL,0,2,21.00,3,0,0,0,0,1.1,6,6,4,2,2,1,2,1,11,0.545,0,2,0,0,0,2,0
CAMPBELL,Keenan Luke,RSA,0,0,1.31,2,0,0,0,0,5.1,4,2,1,3,0,3,0,0,21,0.190,1,3,0,1,0,7,9
CAMPOS SÁNCHEZ,Carlos Daniel,VEN,0,0,1.75,2,1,0,0,0,4.0,3,1,1,2,3,1,0,0,15,0.200,0,0,0,0,0,5,3
CANALES,Angel,NCA,1,1,3.15,2,2,0,0,0,6.2,8,4,3,4,7,1,0,1,27,0.296,1,0,0,0,0,6,4
CASIMIRI,Jiorgeny,NED,0,1,4.85,3,0,0,0,0,4.1,3,3,3,2,2,1,0,0,16,0.188,0,0,0,0,0,5,6
CASTILLO REYES,Yoscar Alejandro,VEN,0,0,0.00,1,0,0,0,0,1.0,0,0,0,1,1,0,0,0,2,0.000,0,0,0,0,1,1,1
CAYASSO,Shelion,NCA,0,0,14.00,1,0,0,0,0,1.0,2,2,2,1,0,1,0,1,5,0.400,0,0,0,0,0,3,0
CEDEÑO TAPIAS,Ruben Dario,COL,0,0,14.00,2,0,0,0,0,3.0,5,6,6,3,2,1,0,1,12,0.417,0,0,0,1,0,3,3
CHEN,Kuan-Ying,TPE,0,1,10.50,2,1,0,0,0,3.1,9,5,5,0,4,0,0,1,19,0.474,0,1,0,0,0,4,2
CHEN,Pin-Hong,TPE,0,0,0.00,4,0,0,0,0,8.2,4,3,0,3,11,1,0,0,32,0.125,1,0,0,0,0,8,7
