uniform_number,player_name,position,bats,throws,ht,wt,yob
29,ALANIZ R.J.,P,R,R,179,86,1991
6,ALVAREZ Andres,IF,R,R,173,78,1997
14,BAÑUELOS Manny,P,L,L,178,97,1991
3,BARRERA Tres,C,R,R,180,98,1994
33,CARTER Chris,IF,R,R,190,88,1986
49,CRUZ Jesus,P,R,R,185,104,1995
28,EVANS Phillip,IF,R,R,177,95,1992
58,FIERRO Edwin,P,R,R,185,90,1993
41,GAITAN Alonso,OF,R,R,180,93,1998
24,GOMEZ Cesar,P/IF/OF,R,R,186,80,1998
81,GONZALEZ Victor,P,L,L,182,85,1995
19,HINOJOSA C.J.,IF,R,R,180,90,1994
54,IBARRA Jeff,P,L,L,179,75,1987
45,MIRANDA Luis,P,R,R,180,81,1994
10,MOORE Logan,P,R,R,187,90,1990
31,ORNELAS Julian,OF,L,R,183,99,1996
35,PEREZ Jorge,P,R,R,180,100,1993
39,PEREZ Juan,IF,L,R,180,84,1991
44,REYES Gerardo,P,R,R,180,88,1993
2,RIOS Wilmer,P,R,R,187,80,1994
69,RODRIGUEZ Luis,P,L,L,185,90,1999
18,ROJAS Jose,IF,L,R,178,90,1993
59,SALAS Fernando,P,R,R,183,95,1985
11,SANCHEZ Asael,OF,R,R,173,70,1994
23,STANKIEWICZ Teddy,P,R,R,193,97,1993
15,THOMPSON Jake,P,R,R,193,102,1994
13,TREJO Alan,IF,R,R,186,93,1996
7,WILSON Alexis,C,R,R,175,70,1996
23,ANTONIA Donovan,C/UTL,R,R,175,75,2003
12,Clementina Hendrik,C,R,R,188,112,1997
41,CROES Dayson,IF,L,R,180,93,1999
37,DE BLOK Tom,P,R,R,191,110,1996
11,DIDDER Ray-Patrick,UTL,R,R,184,80,1994
1,ESTANISTA Jaydenn,P,R,R,189,88,2001
21,FARLEY Dylan,P,L,L,190,104,2001
18,GREGORIUS Didi,IF,L,R,184,88,1990
4,HELDER Eugene,IF,R,R,180,92,1996
16,HUIJER Lars,P,R,R,194,102,1993
27,HUNTINGTON Ryan,P,L,L,177,82,1996
33,KELLY Kevin,P,R,R,182,92,1990
7,KEMP Dwayne,UTL,R,R,170,81,1988
39,MARTIS Shairon,P,R,R,185,102,1987
10,MENDEZ Eric,P,R,R,188,88,1999
14,PRINS Scott,P,R,R,193,82,2001
13,PROFAR Juremi,IF,R,R,196,106,1996
25,RICHARDSON Denzel,DH/OF,R,R,191,107,1994
15,SCHOOP Sharlon,IF,R,R,188,90,1987
6,SCHOOP Jonathan,IF,R,R,188,101,1991
2,SELASSA Delano,UTL,R,R,188,86,1999
45,SULBARÁN Juancarlos,P,R,R,188,96,1989
17,TIMMERMANS Kaj,P,R,R,0,0,1995
20,TOMSJANSEN Rushenten,OF,R,R,180,69,2001
29,VAN BORKULO Jair,C,R,R,187,97,2002
3,VAN DER MEER Stijn,UTL,L,R,190,82,1993
55,VAN GURP Franklin,P,R,R,187,94,1995
19,VIJFVINKEL Pim,P,R,R,178,96,2001
29,AGRAZAL Dario,P,R,R,189,85,1994
25,BALDONADO Alberto,P,R,R,191,95,1993
51,BARRIA Jaime,P,R,R,187,89,1996
36,BURGOS Enrique,P,R,R,193,113,1990
19,CACERES Bryan,P,R,R,187,104,2000
13,CAMARGO Johan,IF,R,R,188,87,1993
89,CASTILLO Luis,OF,R,R,190,93,1989
91,CHU Gilberto,P,L,L,180,90,1997
22,FUENTES Steven,P,R,R,185,98,1997
15,GOMEZ Miguel,P,R,R,192,93,2001
2,GONZALES Fernando,C,R,R,193,97,2001
52,GONZALEZ Severino,P,R,R,187,89,1992
41,GUERRERO Alberto,P,R,R,191,97,1997
7,HERNANDEZ Kenny,P,R,R,191,94,1998
6,MENDOZA Abdiel,P,R,R,188,89,1998
14,MIRANDA Kevin,P,R,R,188,89,1998
16,MULLEN Robert,C,R,R,189,91,1996
10,MUÑOZ Edgard,OF,L,L,175,78,1991
24,OROZCO Rodrigo,OF,R,R,189,87,1995
32,PEREIRA Wilfredo,P,R,R,190,102,1999
20,QUIROZ Carlos Xavier,IF,R,R,189,85,1985
99,RAMOS Jose,OF,R,R,188,85,2001
8,RODRIGUEZ Kevin,P,R,R,187,95,2000
23,RODRIGUEZ Abraham,UTL,L,L,184,85,1999
9,SANJUR Mario,C,R,R,187,89,1995
21,SANTOS Jhonny,OF,R,R,180,77,1996
11,TEJADA Ruben,IF,R,R,187,92,1989
39,WRIGHT Joshwan,IF,R,R,180,90,2000
31,BENITEZ Jorge,P,R,L,182,70,1999
51,BERMUDEZ Jonathan,P,L,L,188,102,1995
33,BERRIOS Osvaldo,P,R,R,188,90,1999
28,BURGOS Raymond,P,R,L,78,77,1998
40,CEBALLOS Sabin,3B,R,R,190,102,2002
29,CENTENO Juan,C,L,R,175,88,1989
2,CHACON Ojani,P,L,L,154,73,1997
62,CINTRON Luis,P,R,L,180,70,1989
12,CORTES Carlos,OF,L,R,170,89,1997
63,CRUZ Luis,P,R,L,180,79,1990
61,DIAZ Randal,SS,R,R,182,95,2003
64,FELIX Edrick,2B/3B,R,R,72,89,2002
36,FERRER Jaime,OF,R,R,185,98,2002
65,FIGUEROA Jose,P,R,R,180,80,1999
34,GARCIA Jason,P,R,R,185,99,1992
9,HERNANDEZ Luis,UTL,L,R,172,72,1999
