uniform_number,player_name,position,bats,throws,ht,wt,yob
0,BAZÁN Ahiezer,UTL,R,R,0,0,2004
13,BORGES Joel,C,R,R,180,101,1998
0,CAPELLÁN FERMÍN Delvin Joel,UTL,R,R,185,80,1998
0,CASTRO Armando,UTL,R,R,0,0,2004
57,Colasante Vicente,P,R,R,178,85,1994
1,COSTALES Pablo,UTL,R,R,176,74,2005
0,DÍAZ Candelario,UTL,R,R,0,0,1969
40,Diaz Jose,P,R,R,0,0,1993
12,ENCARNACIÓN Wander,UTL,R,R,0,0,2000
0,FERNANDES Nicolas,UTL,R,R,0,0,2005
0,FINOL Gerardo,UTL,R,R,180,85,2004
29,FRANCO Yancarlo,UTL,R,R,175,89,1988
14,GALVÁN Lesther,CF,R,R,178,99,1990
0,GALVÁN Aickent,UTL,R,R,0,0,1998
0,GALVÁN Deion,UTL,R,R,0,0,1992
0,GARCÍA Yeudy,UTL,R,R,188,99,1992
0,GARCÍA Oliver,UTL,R,R,185,136,1984
0,GARI Ernesto,UTL,R,R,0,0,1970
10,GÓMEZ Luis,P,R,R,189,74,2004
0,GONZÁLEZ Maisel,UTL,L,R,175,82,1981
0,GONZÁLEZ Francisco,UTL,R,R,0,0,1977
0,LEÓN Aarón,UTL,R,R,176,71,1993
0,MADRIGAL Oric,UTL,R,R,165,62,2005
11,MENDOZA Ricardo,IF,R,R,192,102,2003
0,MONTAÑO Jesús,UTL,R,R,180,82,2004
22,Montiel Richard,1B,R,R,184,94,1979
0,NACAR Leslie,P,R,R,0,0,1982
17,PERES Ian,UTL,R,R,0,0,1997
0,PIVA Ángel,UTL,R,R,0,0,1992
0,RODRÍGUEZ Kevin,UTL,R,R,0,0,2005
19,RODRÍGUEZ Luís,UTL,R,R,185,92,1994
33,TORREALBA Julio,P,R,R,191,112,1990
0,TORRES Ángel,UTL,R,L,169,65,2002
0,Ustariz Jesus,1B,R,R,186,90,1993
5,VALERIO Edison,UTL,R,R,182,76,1994
0,WALO Marco,UTL,R,R,182,125,1988
