uniform_number,player_name,position,bats,throws,ht,wt,yob
97,Arguinzones Ocanto Johiner Alfonso,C,R,R,0,0,2002
55,Bustamante Daniel,IF/OF,R,R,0,0,1991
31,De Saedeleer Roche Junior,IF/OF,R,R,0,0,2004
38,Desmedt Cedric,P,R,R,0,0,1991
6,Duran Garcia Aneudy Rafaël,P,R,R,0,0,1983
64,Fundora Basnueva Elio,OF,R,R,,,1986
29,Gerdel Nieto Anderson Denny,P,R,R,0,0,1993
18,Hernandez Sarao Eder,IF,R,R,0,0,1983
85,Larrinaga Ocampo Jose Luis,P,R,R,0,0,1977
21,Marquez Alexis,P/IF,R,R,0,0,1988
9,Mostaert Nando,P/IF,R,R,0,0,2006
67,Nieto Castillo Edgardo Jose,IF,R,R,0,0,1997
44,Polanco Elvis,OF,R,R,0,0,1978
46,Prieto Burgos Frank Alejandro,OF,R,R,0,0,1987
33,Reina Viant Leonel Santiago,OF,L,L,0,0,1988
27,Rosario Angel Williams,IF,R,R,0,0,1973
92,Valdez Lazil Brian Jordani,C,R,R,0,0,1997
22,Vincente Lopez Adalberto Antonio,OF,R,R,0,0,1984
22,Aelbrecht Nick,IF,R,R,0,0,1996
34,Berardocco Alessandro,IF,R,R,0,0,2006
99,Daniels Kiara,OF,R,R,0,0,1999
52,De Kam Robbe,UTL,R,R,0,0,2002
18,De Kam Senne,UTL,R,R,0,0,2002
27,Delaruelle Kenneth,UTL,R,R,0,0,1995
0,Jacobs Stefan,UTL,R,R,0,0,1970
3,Petit Danny,UTL,R,R,0,0,1997
0,Pineda Villamediana Johnny Ysmael,UTL,R,R,0,0,1974
51,Roymans Steff,UTL,R,R,0,0,2001
1,Schelfaut Vinnie,UTL,R,R,0,0,1985
0,Smits Olivier,UTL,R,R,0,0,2002
4,Smits Raf,IF,R,R,,,1991
12,Van Beek Cedric,UTL,R,R,0,0,2004
69,Van Roost Felix,UTL,R,R,0,0,1994
21,Verheyden Djamy,UTL,R,R,0,0,2006
73,Verstraeten Elias,UTL,R,R,0,0,1997
2,Vols Matthias,UTL,R,R,0,0,1995
28,Wuyts Stef,UTL,R,R,0,0,2003
