uniform_number,player_name,position,bats,throws,ht,wt,yob
59,BLAUENSTEINER Benjamin,3B,R,R,0,0,1998
31,BRENNER Phillip,1B/OF,L,L,0,0,1993
3,CHRISTOF Benedict,UTL,R,R,0,0,1990
22,CHRISTOF Sebastian,1B,R,R,0,0,1988
99,DE LEON MOREL Braudy,OF,R,R,0,0,1990
34,DIAZ MELIAN Vicente,C,R,R,0,0,1994
51,EISENHELD David,UTL,R,R,0,0,2024
8,FALBACHER Fabian,OF,R,L,0,0,2024
13,GRUBER Tim,UTL,R,R,0,0,2024
11,JAHN Daniel,P,R,R,0,0,1972
43,JENSEN Matthew,P/SS,R,R,0,0,1995
9,KOTRBA Sascha,UTL,R,L,0,0,1996
19,NIEDERL Nicolas,C,R,R,0,0,2024
25,SANSARYS Erick,P/OF,R,R,0,0,1987
1,SCHEIBER Felix,2B/OF,R,R,0,0,2024
6,SCHÜTZ Severin,2B/SS,R,R,0,0,1995
2,SCHÜTZ Lukas,P/OF,R,R,0,0,1991
12,SCHÜTZ Niklas,UTL,R,R,0,0,1993
36,SMYTH Kyle,P,R,R,,,1999
26,SPITZEGGER Roland,UTL,R,R,0,0,1969
21,STEPHAN Felix,P/SS,R,R,0,0,2024
14,TRUJILLO SILVA Livan,3B/SS,R,R,0,0,1984
27,WELLER Peter,OF,R,R,0,0,1995
33,AMON Florian,IF/OF,R,R,175,0,2024
15,ASTNER Felix,P/OF,L,L,183,0,2024
19,BOLLENBERGER Philipp,IF/OF,R,R,182,0,2024
8,BRAUNER Jacob,OF,R,R,178,0,2024
99,FAULHABER Julian,P/IF,L,L,185,0,2024
18,GNEIST Vitus,P/IF,L,L,191,0,2024
25,HOLDHAUS Luca,C/IF,R,R,178,0,2024
24,KIENBERGER Alexander,P,R,R,193,0,2024
11,KRESKA Jonas,P/IF,R,R,179,0,2024
9,KRESKA Elias,P/C/OF,R,R,179,0,2024
21,Leabourn Henry,C/IF,R,R,187,0,2024
4,Mc GARRY Eoghan,P/IF/OF,L,L,183,0,2024
7,PERDUE Melvin,P/IF/OF,R,R,172,0,1984
44,POAPST Kyle Bev,P/3B,L,R,,,1998
17,RAIMANN Clemens,P/IF,R,R,183,0,2024
12,SCHEICHER Moritz,P/IF,L,R,185,,1998
